葡语,中文,词性,单元,难度
olá,你好,感叹词,1-U1,1
oi,嗨,感叹词,1-U1,1
bom dia,早上好,短语,1-U1,1
boa tarde,下午好,短语,1-U1,1
boa noite,晚上好/晚安,短语,1-U1,1
tchau,再见,感叹词,1-U1,1
até logo,回头见,短语,1-U1,1
até amanhã,明天见,短语,1-U1,1
até já,一会儿见,短语,1-U1,1
obrigado,谢谢（男）,感叹词,1-U1,1
obrigada,谢谢（女）,感叹词,1-U1,1
muito obrigado,非常感谢,短语,1-U1,1
de nada,不客气,短语,1-U1,1
por favor,请,短语,1-U1,1
com licença,打扰一下,短语,1-U1,1
desculpa,对不起,感叹词,1-U1,1
desculpe,对不起（正式）,感叹词,1-U1,1
saúde,干杯/健康,名词,1-U1,1
como está,你好吗,短语,1-U1,1
bem,好地,副词,1-U1,1
mal,坏地,副词,1-U1,1
mais ou menos,一般般,短语,1-U1,1
ser,是（永久性）,动词,1-U2,1
estar,是/在（临时性）,动词,1-U2,1
ter,有,动词,1-U2,1
fazer,做/制造,动词,1-U2,2
ir,去,动词,1-U2,1
vir,来,动词,1-U2,1
poder,能够,动词,1-U2,2
querer,想要,动词,1-U2,2
saber,知道,动词,1-U2,2
conhecer,认识/了解,动词,1-U2,2
haver,有/存在,动词,1-U2,2
dar,给,动词,1-U2,2
ver,看见,动词,1-U2,1
ouvir,听,动词,1-U2,1
sentir,感觉,动词,1-U2,2
partir,离开,动词,1-U2,2
chegar,到达,动词,1-U2,2
voltar,返回,动词,1-U2,2
entrar,进入,动词,1-U2,2
sair,离开/出去,动词,1-U2,2
viver,生活/居住,动词,1-U2,2
morrer,死亡,动词,1-U2,2
nascer,出生,动词,1-U2,2
abrir,打开,动词,1-U2,2
fechar,关闭,动词,1-U2,2
começar,开始,动词,1-U2,2
terminar,结束,动词,1-U2,2
continuar,继续,动词,1-U2,2
esperar,等待/希望,动词,1-U2,2
falar,说话,动词,1-U3,1
dizer,说,动词,1-U3,2
conversar,交谈,动词,1-U3,2
perguntar,问,动词,1-U3,2
responder,回答,动词,1-U3,2
explicar,解释,动词,1-U3,2
mostrar,展示,动词,1-U3,2
escutar,倾听,动词,1-U3,2
comer,吃,动词,1-U3,1
beber,喝,动词,1-U3,1
dormir,睡觉,动词,1-U3,1
acordar,醒来,动词,1-U3,1
levantar-se,起床,动词,1-U3,2
vestir-se,穿衣,动词,1-U3,2
lavar-se,洗漱,动词,1-U3,2
preparar,准备,动词,1-U3,2
trabalhar,工作,动词,1-U3,1
estudar,学习,动词,1-U3,1
ler,阅读,动词,1-U3,1
escrever,写,动词,1-U3,1
aprender,学会,动词,1-U3,1
ensinar,教,动词,1-U3,1
ajudar,帮助,动词,1-U3,1
gostar,喜欢,动词,1-U3,1
amar,爱,动词,1-U3,1
adorar,热爱,动词,1-U3,2
odiar,讨厌,动词,1-U3,2
precisar,需要,动词,1-U3,1
desejar,渴望,动词,1-U3,2
tentar,尝试,动词,1-U3,2
conseguir,能够做到,动词,1-U3,2
pensar,思考,动词,1-U3,2
acreditar,相信,动词,1-U3,2
duvidar,怀疑,动词,1-U3,2
decidir,决定,动词,1-U3,2
escolher,选择,动词,1-U3,2
mudar,改变,动词,1-U3,2
melhorar,改善,动词,1-U3,2
piorar,恶化,动词,1-U3,2
crescer,成长,动词,1-U3,2
desenvolver,发展,动词,1-U3,2
eu,我,代词,1-U4,1
tu,你,代词,1-U4,1
você,您,代词,1-U4,1
ele,他,代词,1-U4,1
ela,她,代词,1-U4,1
nós,我们,代词,1-U4,1
vós,你们,代词,1-U4,2
eles,他们（男/混合）,代词,1-U4,1
elas,她们,代词,1-U4,1
me,我（宾格）,代词,1-U4,1
te,你（宾格）,代词,1-U4,1
o,他（宾格）,代词,1-U4,1
a,她（宾格）,代词,1-U4,1
nos,我们（宾格）,代词,1-U4,1
vos,你们（宾格）,代词,1-U4,2
meu,我的（阳）,代词,1-U4,1
minha,我的（阴）,代词,1-U4,1
teu,你的（阳）,代词,1-U4,1
tua,你的（阴）,代词,1-U4,1
seu,您的/他的（阳）,代词,1-U4,1
sua,您的/她的（阴）,代词,1-U4,1
nosso,我们的（阳）,代词,1-U4,1
nossa,我们的（阴）,代词,1-U4,1
vosso,你们的（阳）,代词,1-U4,2
vossa,你们的（阴）,代词,1-U4,2
deles,他们的,代词,1-U4,1
delas,她们的,代词,1-U4,1
este,这个（近处）,代词,1-U4,1
esta,这个（阴）,代词,1-U4,1
isto,这个（中性）,代词,1-U4,1
esse,那个（近处二）,代词,1-U4,1
essa,那个（阴）,代词,1-U4,1
isso,那个（中性）,代词,1-U4,1
aquele,那个（远处）,代词,1-U4,1
aquela,那个（阴远处）,代词,1-U4,1
aquilo,那个（中性远处）,代词,1-U4,1
quem,谁,代词,1-U5,1
que,什么/那个,代词,1-U5,1
qual,哪个,代词,1-U5,1
quais,哪些,代词,1-U5,1
cujo,其（所属关系）,代词,1-U5,2
onde,哪里,副词,1-U5,1
quando,什么时候,副词,1-U5,1
como,怎么/如何,副词,1-U5,1
porquê,为什么,副词,1-U5,1
quanto,多少（数量）,副词,1-U5,1
quão,多么,副词,1-U5,2
tão,如此/这么,副词,1-U5,1
muito,很/非常/很多,副词/形容词,1-U5,1
pouco,少量/很少,副词/形容词,1-U5,1
bastante,足够/相当,副词/形容词,1-U5,2
demais,太多/过分,副词,1-U5,2
bom,好的（阳）,形容词,1-U6,1
boa,好的（阴）,形容词,1-U6,1
mau,坏的（阳）,形容词,1-U6,1
má,坏的（阴）,形容词,1-U6,1
ruim,坏的,形容词,1-U6,1
ótimo,极好的,形容词,1-U6,2
péssimo,极差的,形容词,1-U6,2
grande,大的,形容词,1-U6,1
pequeno,小的,形容词,1-U6,1
alto,高的,形容词,1-U6,1
baixo,矮的/低的,形容词,1-U6,1
largo,宽的,形容词,1-U6,1
estreito,窄的,形容词,1-U6,1
longo,长的,形容词,1-U6,1
curto,短的,形容词,1-U6,1
grosso,厚的/粗的,形容词,1-U6,2
fino,薄的/细的,形容词,1-U6,2
forte,强壮的,形容词,1-U6,1
fraco,虚弱的,形容词,1-U6,1
novo,新的,形容词,1-U6,1
velho,旧的/老的,形容词,1-U6,1
jovem,年轻的,形容词,1-U6,1
antigo,古老的/以前的,形容词,1-U6,2
moderno,现代的,形容词,1-U6,2
bonito,漂亮的,形容词,1-U6,1
feio,丑陋的,形容词,1-U6,1
lindo,美丽的,形容词,1-U6,2
belo,优美的,形容词,1-U6,2
feliz,幸福的,形容词,1-U6,1
triste,悲伤的,形容词,1-U6,1
alegre,快乐的,形容词,1-U6,2
contente,高兴的,形容词,1-U6,2
tranquilo,平静的,形容词,1-U6,2
nervoso,紧张的,形容词,1-U6,2
calmo,冷静的,形容词,1-U6,2
agitado,激动的,形容词,1-U6,2
rico,富有的,形容词,1-U6,1
pobre,贫穷的,形容词,1-U6,1
fácil,容易的,形容词,1-U6,1
difícil,困难的,形容词,1-U6,1
simples,简单的,形容词,1-U6,2
complicado,复杂的,形容词,1-U6,2
caro,贵的,形容词,1-U6,1
barato,便宜的,形容词,1-U6,1
quente,热的,形容词,1-U6,1
frio,冷的,形容词,1-U6,1
doce,甜的,形容词,1-U6,1
amargo,苦的,形容词,1-U6,1
salgado,咸的,形容词,1-U6,1
azedo,酸的,形容词,1-U6,2
fresco,新鲜的,形容词,1-U6,2
pessoa,人,名词,1-U7,1
gente,人们,名词,1-U7,1
homem,男人,名词,1-U7,1
mulher,女人,名词,1-U7,1
criança,孩子,名词,1-U7,1
bebé,婴儿,名词,1-U7,1
adulto,成年人,名词,1-U7,1
idoso,老年人,名词,1-U7,2
amigo,朋友（男）,名词,1-U7,1
amiga,朋友（女）,名词,1-U7,1
colega,同事/同学,名词,1-U7,1
vizinho,邻居,名词,1-U7,1
família,家庭,名词,1-U7,1
pai,父亲,名词,1-U7,1
mãe,母亲,名词,1-U7,1
filho,儿子,名词,1-U7,1
filha,女儿,名词,1-U7,1
irmão,兄弟,名词,1-U7,1
irmã,姐妹,名词,1-U7,1
marido,丈夫,名词,1-U7,1
esposa,妻子,名词,1-U7,1
noivo,未婚夫,名词,1-U7,2
noiva,未婚妻,名词,1-U7,2
avô,祖父,名词,1-U7,1
avó,祖母,名词,1-U7,1
neto,孙子,名词,1-U7,2
neta,孙女,名词,1-U7,2
tio,叔叔/舅舅,名词,1-U7,1
tia,阿姨/姑姑,名词,1-U7,1
primo,表兄弟,名词,1-U7,1
prima,表姐妹,名词,1-U7,1
sogro,岳父,名词,1-U7,2
sogra,岳母,名词,1-U7,2
genro,女婿,名词,1-U7,2
nora,儿媳,名词,1-U7,2
padrasto,继父,名词,1-U7,2
madrasta,继母,名词,1-U7,2
enteados,继子女,名词,1-U7,2
casa,家/房子,名词,1-U8,1
apartamento,公寓,名词,1-U8,2
andar,楼层,名词,1-U8,1
quarto,房间/卧室,名词,1-U8,1
sala,客厅/房间,名词,1-U8,1
sala de estar,客厅,名词,1-U8,1
sala de jantar,餐厅,名词,1-U8,1
cozinha,厨房,名词,1-U8,1
banheiro,浴室（巴葡）,名词,1-U8,1
casa de banho,浴室（葡葡）,名词,1-U8,1
varanda,阳台,名词,1-U8,1
corredor,走廊,名词,1-U8,2
escada,楼梯,名词,1-U8,1
elevador,电梯,名词,1-U8,2
porta,门,名词,1-U8,1
janela,窗户,名词,1-U8,1
parede,墙壁,名词,1-U8,1
teto,天花板,名词,1-U8,1
chão,地板,名词,1-U8,1
móvel,家具,名词,1-U8,2
mesa,桌子,名词,1-U8,1
cadeira,椅子,名词,1-U8,1
sofá,沙发,名词,1-U8,1
cama,床,名词,1-U8,1
armário,衣柜/橱柜,名词,1-U8,1
estante,书架,名词,1-U8,2
fogão,炉灶,名词,1-U8,2
geladeira,冰箱（巴葡）,名词,1-U8,2
frigorífico,冰箱（葡葡）,名词,1-U8,2
máquina de lavar,洗衣机,名词,1-U8,2
televisão,电视,名词,1-U8,1
computador,电脑,名词,1-U8,2
escola,学校,名词,1-U9,1
universidade,大学,名词,1-U9,1
faculdade,学院,名词,1-U9,2
